"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P19474",0.0189544104550816,0.0978130303038876,0.139086364269536,0.0166190110558302,0.0111211106308362,0.135079949170757,0.135079949170757,51.7037507462276,-0.0855601995327052,0.0909343216835817,0.131806932857383,0.276676365630574,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q6UXV0",0.012231063737615,0.0978211204464483,0.139086364269536,0.0125547368401062,0.00721807803623287,0.0819738796569208,0.0819738796569208,0,-0.00159243614850984,0.0267019098287222,0,0.342708525382957,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"Q07889",0.0138752472378674,0.0979611020477541,0.13925460814967,0.0116823398394749,0.00795316051296531,0.141861880641652,0.141861880641652,25.262108559562,-0.0156200408255267,0.0410291123086229,0,0.260104538566133,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9HC73",0.0187109907322601,0.0980762810487967,0.139387527828688,0.0145580328050991,0.0110386962872999,0.187229921318122,0.187229921318122,19.8510372258884,-0.00746172529929588,0.0365498961834997,0,0.333557334465677,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P13671",-0.00913182950468641,0.0982963667864483,0.139669450906683,0.00178243331736583,0.00513306279328702,0.728406838034679,0.728406838034679,79.4959804009685,-0.065932441950245,0.0695978298041909,0.428292480485394,0.231896151087778,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q13421",-0.0203114725539803,0.0986196465301887,0.140097845556802,-0.0229877057747721,0.012150084096589,0.058493758931834,0.058493758931834,76.9999428605615,-0.236819899114853,0.155313578439015,0,0.288475711477418,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","high I2 (magnitude)"
"Q14982",-0.0138681752861908,0.0986879972420669,0.140163981948704,-0.0101333286774883,0.00821912598498436,0.217614516840801,0.217614516840801,79.2369709649133,-0.113333041239937,0.138358041699977,0.254360535019006,0.247015249819473,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q8IWT3",0.0145371678489603,0.0989154941614138,0.140456070424388,0.00570090136379813,0.00835656100641102,0.495108299841058,0.495108299841058,74.3392891103216,-0.0938114562000772,0.14714588292916,0,0.254278593035667,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"P17643",0.0115304747536817,0.0992017072714039,0.14083138619479,0.00577761903600719,0.00668953052453969,0.387763266981782,0.387763266981782,66.5330481348527,-0.0704801171907825,0.0706335101560386,0.108369508374365,0.263214096415558,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"P01568",0.0265657497854226,0.0994480110029245,0.14114989158239,0.0278270588819469,0.0159751176848681,0.0815259287730875,0.0815259287730875,0,-0.00348359642918356,0.0591377141930773,0,0.322494560307475,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
