"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"Q6WN34",0.00815234903607968,0.761749121434868,0.873471888420791,0.00497451492270904,0.026359851758689,0.850315733700965,0.850315733700965,59.1161103962605,-0.151789115127933,0.219602016538148,0,0.447658614658342,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"P78504",0.00669561052671794,0.761750012670096,0.873471888420791,0.0170622446157853,0.0191303131179584,0.372448822683498,0.372448822683498,34.9256638325636,-0.0205011538715313,0.0546118103381645,1,0.534020278792115,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"P68431",-0.00910774938018415,0.761929230427563,0.873471888420791,-0.0385840729279183,0.0261709613549486,0.140398525520144,0.140398525520144,64.2782301374204,-0.224066767793732,0.244432356630463,0.0781031213286683,0.511760199158623,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q9Y644",0.00529076886908422,0.761961949003365,0.873471888420791,0.00720802679122323,0.0151967614421711,0.635276474747103,0.635276474747103,0,-0.0225770783170791,0.0369931318995256,0,0.555360943042858,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P52565",0.00507584320762751,0.762104868503594,0.873480023052329,0.00397443844341534,0.0146169023176286,0.785693508486519,0.785693508486519,0,-0.0247810098070734,0.0327236415333332,0,0.523581908511719,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q15198",0.0126386485773276,0.762533702212974,0.873784676799504,0.0109739362157518,0.0392583588181964,0.779837196465867,0.779837196465867,0,-0.0659846354912571,0.0879324965995682,0,0.469160931364221,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"A2RU54",-0.00761443101523772,0.762688659432422,0.873784676799504,0.00116397236047474,0.0226166400098844,0.95895474482655,0.95895474482655,0,-0.0431638275102063,0.0454917722311558,0,0.380272604123782,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P02647",-0.00685571030982763,0.762778288843479,0.873784676799504,-0.00966005033027195,0.0174221393709388,0.579257360472626,0.579257360472626,0,-0.0438068160309493,0.0244867153704054,0,0.400546763977033,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8TBQ9",-0.00727307307789816,0.763250655820597,0.874170074369057,0.00203061087769318,0.0227210430300814,0.928786771136267,0.928786771136267,13.4536808745942,-0.0910309566803563,0.0984136662420242,0,0.351100029972778,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O14933",-0.00618661556880601,0.763880151812247,0.874729666158656,-0.0106360935092308,0.0178642836253862,0.551587384230518,0.551587384230518,0,-0.0456494460245963,0.0243772590061347,0,0.349269413981857,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P52799",0.00772713813672088,0.76401127893223,0.874729666158656,0.00554498006111491,0.0238717564809628,0.816318968565882,0.816318968565882,0,-0.0412428028892827,0.0523327630115125,0,0.50058526332293,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9UBR2",0.00635790624297973,0.764487779364831,0.875119421341266,0.00767163156376543,0.0207578187113691,0.711697001722559,0.711697001722559,53.5440430261477,-0.101970289131251,0.159654240031959,0.816555291414537,0.432398693023793,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q9UNS1",0.00828003752206388,0.764760273444358,0.87512692069452,0.0104560027967443,0.0254467787250396,0.681148126892532,0.681148126892532,0,-0.0394187670268934,0.060330772620382,0,0.389850268187255,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P0CG48",0.00674052451405488,0.764950266716193,0.87512692069452,-0.00437871821194863,0.0193663539403204,0.821124223451442,0.821124223451442,36.7133810846227,-0.0698982144544293,0.0551869628929185,1,0.503832263607478,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"P35548",-0.00775751313123783,0.765017433725087,0.87512692069452,-0.00448007404991786,0.0245760586226551,0.855351814898614,0.855351814898614,20.1398249485019,-0.0904432892104014,0.0939818666068751,0,0.36962774185813,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
