"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P14859",-0.00979696757900526,0.678864794449441,0.826764148776989,-0.0102827379365391,0.0270812044116008,0.704167993479362,0.704167993479362,0,-0.0633609232412438,0.0427954473681656,0,0.582900303094083,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q02221",-0.0338152795425254,0.678921080654841,0.826764148776989,-0.0422625871695555,0.0886497499741903,0.633549642574182,0.633549642574182,57.7384855789372,-0.491144583923237,0.568863606599445,0,0.568803446946852,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q9H9S0",0.00953969653925131,0.679319249486237,0.82691375278729,0.0200111232171526,0.0221665865933737,0.366652913409284,0.366652913409284,0.791577499324418,-0.0568214604958622,0.0901000544209127,0,0.439152959676595,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q96LD8",0.0165016353028849,0.679340291644482,0.82691375278729,0.0233329095033902,0.0423370662138869,0.581549706784988,0.581549706784988,0,-0.0596462154869156,0.106312034493696,0,0.647301043580819,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9H6Y5",0.0107600861483229,0.679429679634278,0.82691375278729,0.0102501928651338,0.0275789416945668,0.710140518603595,0.710140518603595,32.8420844319006,-0.0638390271630032,0.0860970296430954,0,0.499460392878626,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9BTZ2",-0.0153370120117598,0.679865139950798,0.827208874290238,0.00159100857878717,0.0333371672210494,0.961935594404116,0.961935594404116,0,-0.0637486385210588,0.0669306556786331,0,0.610775786104352,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P02787",-0.0068630077084918,0.67992942147383,0.827208874290238,0.00125616182250344,0.0171028841958631,0.941450125459539,0.941450125459539,0,-0.0322648752331475,0.0347771988781544,0,0.42019812138446,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P13051",-0.0212582682306422,0.68021864510452,0.827362305982881,-0.0290953433313628,0.0584677225090968,0.618744244837168,0.618744244837168,0,-0.143689973707274,0.0854992870445488,0,0.476832157433719,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9BS92",0.0230667120017195,0.680312839999607,0.827362305982881,0.0352309691168628,0.0564330225273402,0.532432525227735,0.532432525227735,0,-0.0753757225754614,0.145837660809187,0,0.633817263789685,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P28330",-0.0114537365036145,0.68058358544324,0.8273837482028,-0.0144893430493197,0.0305336708838266,0.635117335571206,0.635117335571206,0,-0.074334238297419,0.0453555521987797,0,0.581385201709691,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
